ID;X;Y
112.00000;760478.987486;4436604.064190
113.00000;760213.989327;4436245.941070
114.00000;759492.965737;4434099.066430
115.00000;759201.011234;4433714.065100
116.00000;758967.970016;4432574.062910
117.00000;758673.984021;4432045.004210
118.00000;758058.988716;4429489.062870
119.00000;758733.980024;4428919.061770
120.00000;758141.018599;4429365.934330
121.00000;758089.996882;4428974.994790
122.00000;758011.014237;4429374.060300
123.00000;757772.034810;4429481.874510
124.00000;757570.001759;4429308.126080
125.00000;757539.998176;4429035.001960
126.00000;758106.014420;4428760.002600
127.00000;758382.029519;4428825.936810
128.00000;758113.984121;4428709.996630
129.00000;757487.971875;4429011.874190
130.00000;757300.003003;4428844.063980
131.00000;757593.988998;4428639.061820
132.00000;757267.030316;4428789.995020
133.00000;757113.987489;4428543.124030
134.00000;756632.032622;4425939.063100
135.00000;755981.017391;4422834.998280
136.00000;755678.983560;4422373.123940
137.00000;755252.972873;4421758.128630
138.00000;754686.019017;4421354.062530
139.00000;751033.986981;4417460.941440
140.00000;750808.982437;4417020.933540
141.00000;751064.995148;4416683.125350
142.00000;750992.028846;4416294.998650
143.00000;750998.982802;4416706.878190
144.00000;750902.029261;4416835.933770
145.00000;750778.978854;4416685.938190
146.00000;750847.971467;4416870.937950
147.00000;750662.971700;4417059.063090
148.00000;750301.020000;4416794.064940
149.00000;750855.003557;4416424.065400
150.00000;750191.018027;4416795.002550
151.00000;749558.989437;4416088.121270
152.00000;748562.966494;4414414.997390
153.00000;746355.001969;4410713.126820
154.00000;744027.034277;4406335.003620
155.00000;742867.967312;4404325.935610
156.00000;742407.030580;4403600.000720
157.00000;741887.035456;4402804.057470
158.00000;741083.981982;4400885.937820
159.00000;740470.002423;4401131.871200
160.00000;737597.036622;4402424.067900
161.00000;737127.973919;4402775.002660
162.00000;737064.997650;4402655.937110
163.00000;736411.013314;4402825.935080
164.00000;736014.995047;4403068.129180
165.00000;734901.011590;4403091.870850
166.00000;734799.816472;4403146.899740
167.00000;733902.030704;4403830.932310
168.00000;733671.020979;4404339.999790
169.00000;733837.034104;4404930.003270
170.00000;733492.964004;4405333.120600
171.00000;733377.034984;4406046.877700
172.00000;731532.964355;4407618.125580
173.00000;730543.984663;4408899.997380
174.00000;729896.016670;4409195.936730
175.00000;728842.966829;4409348.120080
176.00000;727970.005454;4409174.996730
177.00000;724596.020009;4409044.065920
178.00000;724200.001742;4408400.942260
179.00000;723727.032323;4407981.874360
180.00000;723472.035359;4406790.939760
181.00000;723992.030482;4406421.877830
182.00000;723922.970897;4405614.058160
183.00000;723750.003816;4405554.999770
184.00000;723286.019845;4404596.871980
185.00000;722058.987176;4402894.994670
186.00000;721235.004863;4402960.002430
187.00000;720313.979714;4402224.066340
188.00000;720077.969392;4401861.880240
189.00000;719558.978852;4401896.873260
190.00000;719706.016498;4401524.060890
191.00000;719553.989417;4401141.872400
192.00000;719101.011224;4399889.066560
193.00000;718827.027618;4399605.003630
194.00000;718163.979700;4399395.000870
195.00000;717747.970207;4399455.934490
196.00000;717502.963274;4400029.060960
197.00000;716879.998267;4400663.121040
198.00000;716763.979950;4400795.000620
199.00000;716486.011492;4401251.874370
200.00000;715828.979918;4401494.057310
201.00000;715181.011925;4402323.129510
202.00000;714454.998899;4402940.937650
203.00000;714347.966030;4403221.875210
204.00000;714092.031454;4403809.065860
205.00000;713766.010384;4404245.937220
206.00000;713502.965583;4405491.878400
207.00000;713342.031189;4405776.878940
208.00000;713081.017881;4406009.060680
209.00000;713031.011911;4406378.122610
210.00000;712546.020967;4406825.932770
211.00000;712404.999664;4406985.003110
212.00000;712276.011049;4407300.933680
213.00000;711690.003579;4408074.061710
214.00000;711536.011978;4408239.059090
215.00000;710011.019626;4408169.999500
216.00000;709157.971343;4407569.994830
217.00000;707626.013873;4405601.880370
218.00000;707632.967828;4405026.878680
219.00000;707310.005159;4403761.872730
220.00000;706762.964396;4402078.122580
221.00000;703082.971432;4402495.940320
222.00000;701232.036144;4403308.124350
223.00000;701529.995827;4407075.002690
224.00000;701777.034253;4407488.121210
225.00000;700667.973259;4412388.125920
226.00000;699636.019686;4412836.873700
227.00000;697628.983170;4414141.873260
228.00000;697292.972068;4413865.936300
229.00000;696314.998155;4412183.123760
230.00000;695896.019557;4410140.937960
231.00000;695021.015528;4409718.119620
232.00000;694576.018198;4410028.123150
233.00000;694359.999102;4409890.003980
234.00000;694344.997311;4410078.129120
235.00000;693842.035471;4410446.878510
236.00000;693712.031109;4410806.876850
237.00000;693797.030098;4411451.875740
238.00000;693409.997278;4411779.995270
239.00000;693057.968639;4411748.127630
240.00000;693051.014684;4412169.997200
241.00000;692697.032686;4412689.065870
