gid;fecha;codigo;code;elevacion;orientacion;dist2road;x;y
187;2003;100;312;1049.11465;177.35994;16.00683681;732712.6095;4471088.62
188;2003;100;323;331.73206;30.70862;127.4460728;729091.6275;4431846.973
189;2003;100;323;970.02735;153.68853;196.6890945;731604.8153;4503233.18
190;2003;100;324;580.76812;71.26597;267.8615304;721414.3171;4429247.071
191;2003;100;312;713.61469;71.74937;131.4002662;741032.0794;4513645.643
192;2003;100;312;1133.34959;259.03227;4.381392378;701475.0536;4433469.008
193;2003;100;324;720.96425;91.42615;343.2472259;771395.5502;4512038.371
194;2003;100;211;1129.71787;23.72258;43.68579115;730035.0819;4466336.744
195;2003;100;323;1003.35959;155.52607;153.5832842;734284.8465;4468556.849
196;2003;100;222;199.60075;103.39393;246.7072716;737813.4291;4422566.812
197;2003;100;312;393.44849;33.14059;279.8581295;732270.1533;4425687.896
198;2003;100;323;540.01735;168.46442;334.4431334;758509.7438;4441504.016
199;2003;100;312;1064.38367;229.60185;71.15693103;728686.8232;4456652.242
200;2003;100;324;627.62734;107.74932;50.39363768;708455.92;4434445.249
201;2003;100;312;1205.46978;140.64886;163.2772078;728793.4663;4470001.708
202;2003;100;324;1171.11041;252.26608;78.22430087;732110.9304;4470006.227
203;2003;100;312;959.23797;15.27905;17.44823208;700708.9548;4427524.757
204;2003;100;312;960.68996;155.63156;1712.487356;706471.7455;4443802.015
205;2003;100;312;751.84908;25.00157;250.4270738;709351.2405;4439689.944
206;2003;100;312;835.06219;301.16579;797.6670585;705391.2164;4437170.052
207;2003;100;312;553.80585;285.00972;334.8550879;745251.5139;4461188.835
208;2003;100;324;1060.79668;119.44068;773.8304123;750983.2605;4512147.066
209;2003;100;312;1125.43561;268.77048;476.5626454;766843.7879;4510386.469
210;2003;100;323;937.78778;137.80857;265.8129857;739972.2257;4465348.55
211;2003;100;323;1001.19232;161.93123;256.9408812;734357.1751;4468469.118
212;2003;100;211;1317.20782;235.88406;507.035958;728433.7468;4477224.783
213;2003;100;312;1167.3993;57.9778;202.9587179;729772.574;4462069.123
214;2003;100;323;576.78805;239.4763;313.6778011;750149.7548;4458318.984
215;2003;100;242;466.38089;118.27588;108.0141822;717457.1489;4419769.031
216;2003;100;312;1344.63159;251.95221;2.237360627;727070.6823;4458208.987
217;2003;210;222;81.87543;-99999;147.4256436;740502.6401;4423761.902
218;2003;210;323;257.88312;154.92125;99.68251691;738963.3132;4440942.585
219;2003;210;312;410.44784;213.36358;145.3380022;745238.1193;4444877.116
220;2003;210;324;500.00961;138.67662;297.5118973;710394.3293;4422500.105
221;2003;210;323;207.98961;119.38301;143.0315272;739674.1044;4433406.363
222;2003;210;312;566.22473;157.3755;265.9535529;722803.811;4418529.467
223;2003;210;223;587.67287;221.11069;389.3216103;708321.8218;4423459.327
224;2003;210;242;308.50175;202.61694;718.2599159;768240.0012;4478474.677
225;2003;210;223;219.93933;146.15352;80.04696548;765778.4132;4455146.437
226;2003;210;324;380.39682;147.71313;447.4240763;720618.2497;4403275.287
227;2003;210;211;317.38731;25.64014;94.48925234;768833.7295;4479887.382
228;2003;210;243;401.14032;151.15575;40.83772976;748809.2749;4461918.922
229;2003;230;242;108.94841;34.52734;152.3125289;781087.445;4473216.374
230;2003;240;323;324.43664;282.86575;215.3821256;760577.3497;4454668.502
231;2003;250;222;223.25591;167.54829;10.37369152;733234.1485;4430552.954
232;2003;250;242;50.63636;55.92036;42.18533944;785381.6721;4477263.096
233;2003;250;324;32.19399;204.23044;94.52264846;736625.717;4404247.261
234;2003;250;324;382.05968;171.09392;2.906071683;727790.3166;4422990.719
235;2003;250;323;945.86429;66.84374;46.54402338;692218.6543;4419292.684
236;2003;250;222;294.9079;178.21129;14.76490922;717349.4437;4413032.897
237;2003;260;222;183.06814;115.47276;14.77796338;734062.1281;4429581.888
238;2003;260;243;111.53552;56.67629;1065.690448;742470.9825;4431766.776
239;2003;260;421;1.18953;-99999;78.21639493;789156.1566;4475230.166
240;2003;270;223;186.76365;92.04065;80.31082674;781541.2107;4488649.787
241;2003;270;223;485.1818;132.77545;60.04042391;773638.1515;4503074.682
242;2003;270;223;278.41053;69.16516;669.9322809;776165.3771;4494507.401
243;2003;310;323;977.04511;-99999;129.2941399;697042.42;4425046.15
244;2003;320;324;718.43479;96.54782;132.7244367;729230.1941;4417066.045
245;2003;320;324;598.3923;166.5933;89.97795797;730093.8529;4417042.541
246;2003;330;243;703.33768;109.48081;110.7101546;704171.2571;4424797.545
247;2003;330;243;464.70857;81.14708;130.3203148;750176.4317;4439560.654
248;2003;330;323;1039.01789;147.8186;116.3866455;699892.0105;4426168.146
249;2003;330;211;850.02129;261.15595;470.9674897;741172.9404;4497430.656
250;2003;330;323;990.51425;145.75595;262.3999126;700324.5148;4426287.54
251;2003;296;243;526.62411;143.77507;212.6830621;772862.9311;4501975.81
252;2003;296;222;38.02285;179.62735;26.32190113;759684.3634;4437566.742
253;2003;400;222;101.56233;207.62015;124.5387901;788066.5077;4491030.851
254;2003;400;222;4.10128;163.35808;11.41406148;755152.1494;4422969.798
255;2003;400;243;169.52077;211.41108;74.12425856;741217.9453;4436627.15
256;2003;400;323;917.90312;45.65941;307.6049171;744329.2289;4472211.331
257;2003;400;242;289.07018;262.83031;213.7208621;745776.984;4438388.278
258;2003;400;323;1020.06847;38.61802;282.9924326;743282.7521;4472254.388
259;2003;400;222;1057.08283;94.53357;247.4934424;743104.1068;4471815.843
260;2003;400;243;153.74395;23.82311;502.1798839;781929.4427;4481435.323
261;2003;400;321;694.17443;70.96998;606.1213823;747411.3887;4473755.1
262;2003;400;323;929.34489;29.95914;299.1043159;744282.0049;4472424.988
263;2003;400;312;270.80659;104.34222;197.655771;731495.8824;4426192.879
264;2003;400;323;331.48581;164.47115;77.59078906;736950.8734;4439929.335
265;2003;400;112;221.00172;103.52939;31.03940683;732614.0109;4427310.081
266;2003;400;242;1.7145;53.53046;65.93457181;771954.7253;4453922.106
267;2003;400;222;260.79809;69.57155;288.007425;731753.3042;4430122.897
268;2003;500;323;226.43169;84.94527;101.974612;760571.5102;4444249.122
269;2003;500;323;139.44489;49.55416;31.50400623;735908.7238;4411450.078
270;2003;500;242;296.87331;228.55575;29.00227766;746112.2;4438123.422
271;2003;500;222;135.25389;56.93039;697.5817032;766671.2736;4449503.423
272;2003;296;222;149.72013;45.28157;47.86131419;738155.0043;4422341.543
273;2003;296;222;230.35493;199.43954;96.19057144;733499.7708;4433771.486
274;2004;290;312;168.73194;87.66;149.4493112;781735.325;4488286.936
275;2004;400;421;1.89408;82.38216;192.7463734;769834.2304;4448494.769
276;2004;290;324;885.12505;136.28109;127.947038;716295.6919;4431658.992
277;2004;400;421;1.77339;-99999;30.91118485;771768.1022;4453495.722
278;2004;400;421;1.49086;133.12601;187.6282809;769836.9242;4448355.092
279;2004;290;324;343.54888;159.45786;281.2231056;754982.9742;4442594.277
280;2004;296;324;675.74078;173.92025;477.1410006;702445.4557;4408218.525
281;2004;500;324;289.95166;5.50302;55.34386891;725175.9614;4435401.841
282;2004;290;324;104.19468;195.31386;21.50346012;761077.5115;4439507.243
283;2004;500;243;122.9351;102.39293;66.79822046;762806.7191;4444474.322
284;2004;290;211;1005.96526;275.90304;10.25618818;698862.7258;4429430.792
285;2004;290;242;640.28301;60.75296;35.13554561;702944.3034;4417781.718
286;2004;500;323;544.47458;296.9459;55.89904602;752172.8156;4466107.137
287;2004;290;242;84.31907;141.48964;62.64398898;785880.7584;4480121.691
288;2004;290;242;516.86884;134.179;87.27529875;725630.2126;4421766.232
289;2004;290;324;263.90123;44.05587;161.470145;727412.844;4434408.66
290;2004;100;323;585.98756;146.67281;213.6520335;751937.7692;4458723.22
291;2004;290;243;323.92265;169.20814;187.5860493;719385.7662;4414010.495
292;2004;500;243;776.2082;180.17132;30.29324922;720400.352;4455384.891
293;2004;500;222;37.55305;94.09085;67.8900427;766424.1943;4445950.296
294;2004;500;212;0.35175;142.90132;198.8150854;741726.3197;4404302.35
295;2004;500;324;330.35513;57.77378;14.0651409;730813.323;4418266.683
296;2004;100;242;93.51655;114.96208;49.51853838;782734.6391;4476006.831
297;2004;100;243;319.48054;80.33381;95.71665885;719512.2235;4414047.87
298;2004;296;312;895.7085;70.54752;93.65898145;698993.4;4424181.255
299;2004;400;324;368.13973;199.86927;13.82147796;746933.4133;4444266.261
300;2004;100;324;714.68362;11.69149;720.0214025;699205.544;4421051.962
301;2004;290;242;164.895;130.26399;101.837843;782446.2659;4479055.686
302;2004;100;312;848.02336;268.27983;153.0859793;720994.8666;4456147.934
303;2004;100;323;580.34188;234.04244;1293.040052;714513.821;4420876.412
304;2004;100;323;392.72818;153.96535;457.5233932;725775.34;4412685.426
305;2004;100;324;629.13828;263.41903;622.0276694;720133.5695;4419687.129
306;2004;500;222;227.03956;36.47196;54.58491392;730982.8187;4426122.156
307;2004;100;321;1341.8589;253.31778;159.3596873;724372.4522;4456258.201
308;2004;500;323;267.77854;169.83456;126.8341949;738430.5391;4440507.981
309;2004;100;324;706.37556;228.3049;676.9396741;776857.3433;4507463.522
